Name,Born,Reigned from,Reigned until,Relationship with Muhammad PBUH
Abu Bakr,573,8 June 632,22 August 634,"Father of Aisha, Muhammad's Sallallahu 'Alaihi Wa Salam wife"
Umar,584,23 August 634,3 November 644(assassinated by Abu Lu'lu'a Firuz),"Father of Hafsa, Muhammad's Sallallahu 'Alaihi Wa Salam wife"
Uthman,579,11 November 644,20 June 656(assassinated at the end of a siege upon his house; see First Fitna),"Husband of Muhammad's Sallallahu 'Alaihi Wa Salam daughters, Ruqayya and later Umm Kulthum, and grandson of Muhammad's paternal aunt"
Ali,601,20 June 656,29 January 661(assassinated while praying in the Mosque of Kufa; see First Fitna),"Muhammad's Sallallahu 'Alaihi Wa Salam cousin, and husband of Fatimah, Muhammad's Sallallahu 'Alaihi Wa Salam daughter, and Umamah bint Zainab, Muhammad's Sallallahu 'Alaihi Wa Salam granddaughter"
